rowid,content,label,content_clean,dm1,dm2,troll_whight,real_whight,upper_s,upper_w,swears,swears_s,num_words,positive,positive_s,negative,negative_s
11,-- I'm an attention whore  man. It was only a matter of time. NY &gt; CA.,0, im an attention whore  man it was only a matter of time ny gt ca,0.650449949,-0.564631865,7.295800502,-1.627429836,0.2,0.15,1,0.066666667,15,0,0,1,0.066666667
12,--well...i had to pee...and my stupid ass lifted the seat with the same hand i was holdin the phone in...then...PLOOP!!!,1,welli had to peeand my stupid ass lifted the seat with the same hand i was holdin the phone inthenploop,0.586403168,-0.500431577,34.66616036,-11.33954376,0.03125,0.03125,1,0.05,20,0,0,1,0.05
13,"-  i have a shirt from chopper dave that says ""they made me hate"" on the front.  that could be the one for tomorrow.  LOL!",0,  i have a shirt from chopper dave that says they made me hate on the front  that could be the one for tomorrow  lol,0.914233893,-0.711028034,20.10433016,-9.418666367,0.035714286,0.035714286,0,0,24,0,0,1,0.041666667
14,- *hugz* ...and yer on the west so its only like noon or sumpin. damn.,0, hugz and yer on the west so its only like noon or sumpin damn,0.78095329,-0.456268119,3.803564795,-7.556918474,0,0,1,0.071428571,14,1,0.071428571,1,0.071428571
15,- Agreed  snow is fine  ice sucks (well  and all the silly drivers on the road) :),0, agreed  snow is fine  ice sucks well  and all the silly drivers on the road ,0.651746711,-0.64447239,4.381641607,-2.843804223,0.05,0,1,0.066666667,15,2,0.133333333,2,0.133333333
16,"- and occasionally ""grape fruits"" or my personal fave:  ""stupid ass huge""",0, and occasionally grape fruits or my personal fave  stupid ass huge,0.376383428,-0.247638454,22.3592466,-5.402611979,0,0,1,0.090909091,11,1,0.090909091,1,0.090909091
17,- Austin Girl & Fat Bastard are giggling with anticipation over Kitty Kat's Halloween pics!,0, austin girl  fat bastard are giggling with anticipation over kitty kats halloween pics,0.195729576,-0.187918064,9.67694342,0,0.411764706,0,1,0.076923077,13,0,0,2,0.153846154
18,- Aww. I know. It's a learning process  and it sucks. *Hug*,0, aww i know its a learning process  and it sucks hug,1.115751093,-0.556167293,1.996367591,0,0.307692308,0.076923077,1,0.090909091,11,1,0.090909091,1,0.090909091
19,- blow it out your Manhattanite ass.  Jeff Zucker doesn't pay for all of our spa days at Garren NY.,0, blow it out your manhattanite ass  jeff zucker doesnt pay for all of our spa days at garren ny,0.493517902,-0.423034432,2.843260865,-1.566536481,0.227272727,0.045454545,1,0.052631579,19,0,0,1,0.052631579
20,- can't hate the skins - their owner sucks - like Al davis - both need to retire - but not give it to their kids.,0, cant hate the skins  their owner sucks  like al davis  both need to retire  but not give it to their kids,0.755789781,-0.559023608,7.411948954,-6.533251148,0.035714286,0,1,0.047619048,21,1,0.047619048,2,0.095238095
21,- damn you and your constant banoffee pie mentions!! Very tempting LOL,1, damn you and your constant banoffee pie mentions very tempting lol,0.66477817,-0.254050115,11.83323405,0,0.142857143,0.071428571,1,0.090909091,11,1,0.090909091,1,0.090909091
22,- damn! I almost bought those!,0, damn i almost bought those,1.063361467,-0.510196664,11.83323405,0,0.125,0.125,1,0.2,5,0,0,1,0.2
23,- Daniel  are you doing any fat loss seminars in January? I've heard from lots of Aussies who want one! You'd be great!,0, daniel  are you doing any fat loss seminars in january ive heard from lots of aussies who want one youd be great,0.603679315,-0.535025664,16.59741365,-10.31307513,0.178571429,0.035714286,0,0,22,1,0.045454545,2,0.090909091
24,- Do you HATE Cleo!?  Let her win for once  you're breaking my heart!  ;),1, do you hate cleo  let her win for once  youre breaking my heart  ,0.732594965,-0.576012671,21.03414946,0,0.2,0.05,0,0,13,1,0.076923077,2,0.153846154
25,- ergh I hate that! It's happened to me plenty times. D: Wear thick socks?,0, ergh i hate that its happened to me plenty times d wear thick socks,0.878947049,-0.405610008,14.0068561,-2.843804223,0.210526316,0.105263158,0,0,14,0,0,1,0.071428571
26,- Every time I see a new one of your blinkies up  I'm shocked. They are so damn cute and well done. :D,0, every time i see a new one of your blinkies up  im shocked they are so damn cute and well done d,0.977712717,-0.672135684,3.635384353,-5.518369749,0.2,0.12,1,0.045454545,22,2,0.090909091,2,0.090909091
27,- Fat Bastard sends hugs for retweet on Austin Girl blog: http://austingirlblog.wordpress.com (need feedback on writing),1, fat bastard sends hugs for retweet on austin girl blog httpaustingirlblogwordpresscom need feedback on writing,0.210979021,-0.316326088,3.577451501,-5.687608446,0.19047619,0,1,0.066666667,15,0,0,2,0.133333333
28,- French? No  he's Scottish by damn! lol,0, french no  hes scottish by damn lol,0.616595335,-0.43861289,13.97643294,0,0.272727273,0,1,0.142857143,7,0,0,1,0.142857143
29,- Fuck yeah!,1, fuck yeah,1.047271967,-0.561416395,7.713689069,0,0.25,0,1,0.5,2,0,0,1,0.5
30,- fucking tweet already! WE NEED NC TWEETING!,0, fucking tweet already we need nc tweeting,0.437657049,-0.412251452,20.36378948,0,0.4,0.4,1,0.142857143,7,0,0,1,0.142857143
31,"- Ha ha  true ""Half a product is better than a half-ass product""  but I dont want http://www.vamooz.com/ to be both!!!",0, ha ha  true half a product is better than a halfass product  but i dont want httpwwwvamoozcom to be both,0.953182417,-0.481712032,24.50099781,-7.611929111,0.107142857,0.035714286,0,0,20,1,0.05,0,0
32,- hahaha .. you're silly! but dayum it's 10:22AM and i'm still kinda limping from my hip hurting THAT badly .. it sucks!,1, hahaha  youre silly but dayum its 1022am and im still kinda limping from my hip hurting that badly  it sucks,0.786810349,-0.312767576,21.37896903,-8.217793354,0.071428571,0.035714286,1,0.05,20,0,0,4,0.2
33,- hate to break it to ya  but HD DVD is dead  u can still find cheap HD stuff  but it's not supported. Long live BluRay,0, hate to break it to ya  but hd dvd is dead  u can still find cheap hd stuff  but its not supported long live bluray,0.780605874,-0.459692114,8.453546348,-8.594346116,0.185185185,0.111111111,0,0,25,1,0.04,4,0.16
34,"- I'm gonna laugh during ROBOCOP - every time that guy says ""Dick Jones  I work for DICK JONES !!""     (aka D.W.)",0, im gonna laugh during robocop  every time that guy says dick jones  i work for dick jones      aka dw,0.682340637,-0.274186801,25.55655294,0,0.266666667,0.166666667,2,0.1,20,1,0.05,2,0.1
35,- I agree. No More SteveNotes. Damn!,0, i agree no more stevenotes damn,1.150321068,-0.318392481,5.916617023,0,0.625,0.125,1,0.166666667,6,0,0,1,0.166666667
36,- I can't wait until I'm a high enough level so I can get something other than that damn osterich for my Blood Elf.,0, i cant wait until im a high enough level so i can get something other than that damn osterich for my blood elf,0.885423457,-0.484995054,8.099560285,0,0.185185185,0.111111111,1,0.043478261,23,1,0.043478261,1,0.043478261
37,"- I gotta say  I'm glad it works that way - I'd hate to be ""high"" all the time - I just want to be functional",0, i gotta say  im glad it works that way  id hate to be high all the time  i just want to be functional,1.108243224,-0.676209001,12.27840926,0,0.129032258,0.129032258,0,0,24,2,0.083333333,1,0.041666667
38,"- i wasn't on Twitter yesterday  so a belated ""for fuck's sake"" from me - man  what an unbelievable shitter. :-(",0, i wasnt on twitter yesterday  so a belated for fucks sake from me  man  what an unbelievable shitter ,0.673553226,-0.494863164,26.456368,-13.99707239,0.037037037,0,2,0.111111111,18,0,0,2,0.111111111
39,- ice t  yes...never ice cube.  he's bad-ass.  was he cool?,0, ice t  yesnever ice cube  hes badass  was he cool,0.301246414,-0.174492333,13.85603824,-3.832413687,0,0,0,0,10,1,0.1,0,0
40,- it's a sweet deal and product. Customer service sucks pooh tho.,0, its a sweet deal and product customer service sucks pooh tho,0.648348909,-0.174719302,4.589283448,0,0.071428571,0,1,0.090909091,11,1,0.090909091,1,0.090909091
41,- Latest video kicked ass.  It's nice to know that some people know they have to put effort into listening. :),0, latest video kicked ass  its nice to know that some people know they have to put effort into listening ,0.762066029,-0.545111531,3.832401796,-5.384445967,0.086956522,0,1,0.052631579,19,1,0.052631579,0,0
42,- More DnD podcasts!?  Fuck YEAH!,1, more dnd podcasts  fuck yeah,0.49799753,-0.246262199,14.11529909,0,0.444444444,0.111111111,1,0.2,5,0,0,1,0.2
43,- Oh  yikes!  I hate that.  Will she willingly use the toilet for it?  My boys won't.,1, oh  yikes  i hate that  will she willingly use the toilet for it  my boys wont,0.945352343,-0.534134661,17.20376818,0,0.19047619,0.047619048,0,0,16,1,0.0625,1,0.0625
44,- oh yeah! Actually these were done with no calories  carbs or fat! Amazing eh? :-) -http://twitpic.com/v440,0, oh yeah actually these were done with no calories  carbs or fat amazing eh  httptwitpiccomv440,0.523315705,-0.306277509,18.39448569,-8.246416202,0.083333333,0,0,0,15,1,0.066666667,1,0.066666667
45,- or L7 - that's where i totally kick ass!!,0, or l7  thats where i totally kick ass,0.858564464,-0.497143109,22.98220562,-6.700894658,0.076923077,0.076923077,1,0.125,8,0,0,0,0
46,- re: Retweeter  that sucks - can't stand peeps like that. Hubby really is a gift! I hope you have someone like that in your life,0, re retweeter  that sucks  cant stand peeps like that hubby really is a gift i hope you have someone like that in your life,0.928550747,-0.60334143,16.6951869,-15.71106058,0.103448276,0.034482759,1,0.041666667,24,2,0.083333333,1,0.041666667
47,- RR could also whup JT's ass.,0, rr could also whup jts ass,0.507020093,-0.157510061,9.312937366,0,0.222222222,0.222222222,1,0.166666667,6,0,0,0,0
48,- Rubacky's just too damn cute. :-) He's one of the best AMs around  too.,0, rubackys just too damn cute  hes one of the best ams around  too,0.661653394,-0.650515295,3.992735182,-10.07674956,0.15,0,1,0.076923077,13,2,0.153846154,1,0.076923077
49,- So damn slow. It's depressing - I just want to be done!,0, so damn slow its depressing  i just want to be done,1.253461756,-0.579189939,7.912984614,0,0.2,0.066666667,1,0.090909091,11,0,0,3,0.272727273
50,- Thankfully we haven't gotten any ice yet. Just a lot of rain. I hate ice. I always bust my shit.,0, thankfully we havent gotten any ice yet just a lot of rain i hate ice i always bust my shit,0.711798853,-0.629933168,9.772652181,-4.568649701,0.173913043,0.086956522,1,0.05,20,0,0,3,0.15
51,- There there *hugs* Nobody sucks in relationship. Maybe it's about timing and the people :) It's OK.,0, there there hugs nobody sucks in relationship maybe its about timing and the people  its ok,0.850138978,-0.516095357,6.585651039,-7.094464772,0.227272727,0.045454545,1,0.0625,16,0,0,1,0.0625
52,- trying to remember the on-shore fields from late 90's - Bu Hasa  Habshan - damn! cannot remember the rest - good times!,0, trying to remember the onshore fields from late 90s  bu hasa  habshan  damn cannot remember the rest  good times,0.521349302,-0.341325315,13.82960164,-6.218262964,0.111111111,0.037037037,1,0.05,20,1,0.05,1,0.05
53,- u can't help but fucking love women like that! Damn &#9824;,0, u cant help but fucking love women like that damn 9824,0.949937236,-0.548893129,27.01113325,-8.882775594,0.058823529,0.058823529,2,0.181818182,11,2,0.181818182,2,0.181818182
54,- Uh... Fail Whale? What Fail Whale? *whistling non-chalantly*,0, uh fail whale what fail whale whistling nonchalantly,0.148080376,-0.062615302,6.578969132,0,0.5,0,0,0,8,0,0,2,0.25
55,- we need to have desing discussions... none of the artists i work with give a fuck past thier day job about art :(,0, we need to have desing discussions none of the artists i work with give a fuck past thier day job about art ,0.729275117,-0.626125431,13.31793465,-10.04272151,0,0,1,0.045454545,22,1,0.045454545,1,0.045454545
56,- welcome to frisco on new years....damn crazy!,0, welcome to frisco on new yearsdamn crazy,0.349052148,-0.562479478,9.720181818,0,0,0,0,0,7,1,0.142857143,1,0.142857143
57,- welcome to Twitter!  I'd love to see a Munchkin-themed Fail Whale ... :-),0, welcome to twitter  id love to see a munchkinthemed fail whale  ,0.679132285,-0.531889714,7.931456067,-7.017836151,0.277777778,0.055555556,0,0,11,2,0.181818182,1,0.090909091
58,- who *didn't* grab your ass once you got to EG? i mean  seriously...i saw lots of grab assing. just sayin'...,0, who didnt grab your ass once you got to eg i mean  seriouslyi saw lots of grab assing just sayin,0.847209832,-0.515546731,15.37191042,-7.031536753,0.038461538,0.038461538,1,0.05,20,0,0,0,0
59,- word up  the Dragonball movie trailer offically has me upset.  It's looks MAD cheesy & bootleg.  Chow Yun Fat is the only cool dude,0, word up  the dragonball movie trailer offically has me upset  its looks mad cheesy  bootleg  chow yun fat is the only cool dude,0.374839598,-0.337332772,8.062076279,-1.780536951,0.230769231,0.038461538,0,0,23,1,0.043478261,4,0.173913043
60,- Yea man these big bloggers always think they are the best.. Will have to show them X-( I fking hate Big bloggers..,0, yea man these big bloggers always think they are the best will have to show them x i fking hate big bloggers,0.865011675,-0.629118629,3.749543673,-5.682934967,0.208333333,0.041666667,0,0,22,1,0.045454545,1,0.045454545
61,- yep  I'm a real ass. Everybody knows that.,1, yep  im a real ass everybody knows that,0.898515274,-0.439031956,3.551490282,0,0.181818182,0.090909091,1,0.125,8,0,0,0,0
62,- Yep. Did I tell you my plan - which shd fund 50 surgeries in the coming year? No? Damn  shd send you that email! :lol:,0, yep did i tell you my plan  which shd fund 50 surgeries in the coming year no damn  shd send you that email lol,0.732342642,-0.531026383,12.31678132,-6.742404693,0.166666667,0.066666667,1,0.041666667,24,0,0,1,0.041666667
63,- yes. but i am getting tired of their 'hate the customer' funnies. Would be funnier if the service was better,0, yes but i am getting tired of their hate the customer funnies would be funnier if the service was better,0.80672188,-0.614492168,0,-11.84847011,0.045454545,0,0,0,20,1,0.05,2,0.1
64,- you are a man of action. great work Daniel. don't forget to record your fat loss seminar!,1, you are a man of action great work daniel dont forget to record your fat loss seminar,0.726654691,-0.574215367,13.01576388,-2.898120891,0.05,0,0,0,17,2,0.117647059,2,0.117647059
65,#NAME?,0, you bitch slappin kevinrose over da weather  lol,0.472185203,-0.456778205,10.12935429,0,0.090909091,0.090909091,1,0.125,8,0,0,1,0.125
66,"- you can trust me to do my part to help @adam_callender win his ""biggest loser"" contest.  ;)",1, you can trust me to do my part to help adamcallender win his biggest loser contest  ,0.704611488,-0.592696888,13.44962133,-2.898120891,0,0,0,0,16,2,0.125,1,0.0625
67,- You KNOW she doesn't.  She BARELY looks hapa. But LOL @ that one bitch from the one show.,0, you know she doesnt  she barely looks hapa but lol  that one bitch from the one show,0.976445988,-0.561358915,16.15144151,-6.944150545,0.3,0.15,1,0.058823529,17,0,0,1,0.058823529
68,- your design was so un-metal that it was hella-metal.  kim singhs's was bad-ass with the blingee pot leafs and purple pegasus.,0, your design was so unmetal that it was hellametal  kim singhss was badass with the blingee pot leafs and purple pegasus,0.540431821,-0.388304092,3.832401796,-4.882289507,0,0,0,0,21,0,0,0,0
69,"-a""",0,a,1.730812592,-1.085311893,3.286891538,0,0,0,0,0,1,0,0,0,0
70,"-Steffy-""",0,steffy,-0.057078672,0.233844672,3.286891538,0,0.5,0,0,0,1,0,0,0,0
71,-there is. It's sad  really. I never could be ok with that stuff. Still hate movies where the animals die  I cry every time. :(,0,there is its sad  really i never could be ok with that stuff still hate movies where the animals die  i cry every time ,0.939592766,-0.606650259,5.80817403,-4.37745152,0.148148148,0.074074074,0,0,24,0,0,4,0.166666667
72, -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3,0, haa you guessedd righhttttdr its maryyyy ahhh ilovee this picture mayb becuase youhr in it babe<3,0.363175853,-0.261277783,59.16617023,-14.82108878,0.09375,0.03125,0,0,18,0,0,0,0
73, -Hellz yeahh(: of course i&;m qoinqq i wannah b with you quy&;s  like duhh<3,0, hellz yeahh of course im qoinqq i wannah b with you quys  like duhh<3,0.553578304,-0.393742941,3.527917613,-17.05483638,0.041666667,0.041666667,0,0,16,1,0.0625,0,0
74, -question-,0, question,0.48250451,-0.386205231,0,0,0,0,0,0,1,0,0,0,0
75, -rape-,0, rape,0.059920243,-0.033569137,0,0,0,0,1,1,1,0,0,1,1
76, -woaahhhhhh! Likee dude i&;m in youhr backround!!! :D AWESOMEEEE! <3 ilybbyy(:,0, woaahhhhhh likee dude im in youhr backround d awesomeeee <3 ilybbyy,0.181698608,-0.17936331,33.72886553,-14.67090139,0.130434783,0.130434783,0,0,12,0,0,0,0
77,  - Marryyyyy!!!!??/ LOL! itss yuhh boo!!! Hahaha Noo durr suckkaaa!!! Nahhh i loveee yuhhhh mooOee!!!,0,   marryyyyy lol itss yuhh boo hahaha noo durr suckkaaa nahhh i loveee yuhhhh moooee,0.217129927,0.033843828,87.39676841,-2.608439604,0.1875,0.03125,0,0,14,0,0,0,0
78,   Santa is Italian.  It's a fact  (the pasta made him fat like me),0,   santa is italian  its a fact  the pasta made him fat like me,0.858988956,-0.55294083,4.478482147,-2.239483733,0.1875,0,0,0,13,1,0.076923077,1,0.076923077
79,"  "" Fuck Sarah Palin  the political version on Sanjaya"".....perfection.",0,   fuck sarah palin  the political version on sanjayaperfection,0.358689269,-0.374790397,10.55471154,0,0.307692308,0,1,0.125,8,0,0,1,0.125
80,  (: ahaha hii ceara..,0,   ahaha hii ceara,-0.051002664,0.138488574,0,-2.843804223,0,0,0,0,3,0,0,0,0
81,  (: Taelin Walker Webb <3,0,   taelin walker webb <3,-0.165196768,-0.068092743,0,-7.017832953,0.428571429,0.142857143,0,0,5,0,0,0,0
82,  *RAWR*?,0,  rawr,-0.116647333,0.479183043,2.282065044,0,0.5,0,0,0,1,0,0,0,0
83,  *wearr hmmm haha okay.r w/e,0,  wearr hmmm haha okayr we,0.450331029,-0.128131964,0,-3.902184413,0,0,0,0,5,0,0,0,0
87,"  ...all that about your job really sucks. &lt;3""",0,  all that about your job really sucks lt3,1.022791892,-0.647528711,8.901723594,-3.921606448,0,0.076923077,1,0.125,8,0,0,1,0.125
88,  ...no.,0,  no,1.312433797,-0.36713198,2.014839044,0,0,0,0,0,1,0,0,0,0
91,  :) awhh,0,   awhh,-0.151921541,-0.191776158,0,-2.843804223,0,0,0,0,1,0,0,0,0
92,  :) Aww!! Yeahh she is my best friend * raphaela * Haha. She is german so i guess thts why! lmao <3,0,   aww yeahh she is my best friend  raphaela  haha she is german so i guess thts why lmao <3,0.651504753,-0.37716963,21.93590408,-11.1820857,0.148148148,0.037037037,1,0.05,20,1,0.05,0,0
93,  :) hahah thanksss,0,   hahah thanksss,-0.115182918,0.141059575,0,-2.843804223,0,0,0,0,2,0,0,0,0
94,  :) HAHAHA AWHHHHHHHHHHHHHHHHHH <3,0,   hahaha awhhhhhhhhhhhhhhhhhh <3,0.165472587,-0.263199058,0,-7.017832953,0.333333333,0.5,0,0,4,0,0,0,0
95,  :) hey thank you  that means alot. is this who i think it is?r but really thank you,0,   hey thank you  that means alot is this who i think it isr but really thank you,1.129409697,-0.613870063,4.118099249,-14.75022504,0,0,0,0,17,2,0.117647059,0,0
96,  :) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????,0,   i lovwe you to   we will meet haha me jo and you could go to grannys,1.094966154,-0.474907997,31.94891061,-12.19823246,0,0,0,0,16,0,0,0,0
97,  :) omg thanks! :D,0,   omg thanks d,0.692997349,-0.052152438,7.445397429,-8.211121527,0.142857143,0.142857143,1,0.333333333,3,0,0,0,0
101,  :/ hmm i no lol,0,   hmm i no lol,1.366666364,-0.400593339,0,-5.452243827,0,0,0,0,4,0,0,0,0
102,  :/ ugh.. why are you doing this again?,0,   ugh why are you doing this again,0.980695213,-0.68618865,2.282065044,-2.843804223,0,0,0,0,7,0,0,1,0.142857143
104,  :[ computers are dumb sometimes. and yup you too! I had like 110 because of you :] Well and cause I didnt get on all weekend..haha,0,   computers are dumb sometimes and yup you too i had like 110 because of you  well and cause i didnt get on all weekendhaha,0.888342679,-0.58098614,9.410151912,-17.58440527,0.103448276,0.103448276,0,0,24,2,0.083333333,1,0.041666667
106,  :D,0,  d,0.747597668,-0.047097125,0,-2.843804223,0.5,0.5,0,0,1,0,0,0,0
107,  :D awhh hahaha thanlyou,0,  d awhh hahaha thanlyou,0.230418841,-0.145858489,0,-4.388878548,0.2,0.2,0,0,4,0,0,0,0
108,  :D awhhh thankyou  your the best :)r loveyouto:D,0,  d awhhh thankyou  your the best r loveyoutod,0.392687745,-0.383728305,0,-10.08722581,0.153846154,0.153846154,0,0,8,1,0.125,0,0
109,  :D hahahaha,0,  d hahahaha,0.339837122,0.004524071,0,-2.843804223,0.333333333,0.333333333,0,0,2,0,0,0,0
110,  :D hahahahahahahah,0,  d hahahahahahahah,0.414966257,-0.148386715,0,-2.843804223,0.333333333,0.333333333,0,0,2,0,0,0,0
111,  :D i love you to<3,0,  d i love you to<3,1.286953538,-0.674551492,0,-13.80030449,0.125,0.25,0,0,7,1,0.142857143,0,0
112,  :D thankyou  your soo nice :)!!,0,  d thankyou  your soo nice ,0.557242374,-0.196040769,11.83323405,-5.687608446,0.1,0.1,0,0,5,1,0.2,0,0
113,  :o,0,  o,0.062672527,0.254732396,0,-2.843804223,0,0,0,0,1,0,0,0,0
114,  :p,0,  p,0.215834804,-0.40870856,0,-2.843804223,0,0,0,0,1,0,0,0,0
116,  ;) Umm.. A walk to remember! or The Last song! Ugh theirs ALOT! haha hbu!,0,   umm a walk to remember or the last song ugh theirs alot haha hbu,0.661475657,-0.505597307,23.66646809,-6.460992169,0.3,0.1,0,0,14,0,0,1,0.071428571
117,  ? no?,0,   no,1.312433797,-0.36713198,4.564130088,0,0,0,0,0,1,0,0,0,0
118,  <3,0,  <3,0.10219039,-0.561837464,0,-4.174028731,0,0.5,0,0,2,0,0,0,0
119,  =],0,  =,0.34062132,-0.217285353,0,-5.861619658,0,0,0,0,1,0,0,0,0
120,  >.< ily haha :),0,  >< ily haha ,0.155621073,-0.063710353,0,-10.92001737,0,0,0,0,4,0,0,0,0
121,  0 degrees :],0,  0 degrees ,-0.241243231,-0.090490544,0,-8.705423881,0,0.25,0,0,2,0,0,0,0
122,  1 being least? then like 2. ive watched horror movies that scared the shit out of me lol,0,  1 being least then like 2 ive watched horror movies that scared the shit out of me lol,0.704264599,-0.661387669,9.071718332,-2.239483733,0,0.052631579,1,0.055555556,18,1,0.055555556,2,0.111111111
123,  1 year and 3 months,0,  1 year and 3 months,0.404801085,-0.548977411,0,0,0,0.4,0,0,5,0,0,0,0
124,  1. I am totally able to telepathically read others minds.r 2. Im a fairy in this world here to spread my sparkles in someone elses life.r 3. I can drink an entire gallon of OJ in one drink. r 4. I can make a mess like nobodys business.r 5. Sometimes I eat in my dreams and am so full I don't have to eat for days. r 6. I can change the weather with my emotion alone. :],0,  1 i am totally able to telepathically read others mindsr 2 im a fairy in this world here to spread my sparkles in someone elses lifer 3 i can drink an entire gallon of oj in one drink r 4 i can make a mess like nobodys businessr 5 sometimes i eat in my dreams and am so full i dont have to eat for days r 6 i can change the weather with my emotion alone ,0.497663896,-0.50616909,2.843260865,-29.63658625,0.1125,0.0875,0,0,77,1,0.012987013,1,0.012987013
125,  1. sky dive 2. bungie jump 3. visit all the states 4. go to as many concerts as possible 5. spend a day hanging out with some celebs :D 6. travel the world  7. visit all the disneylands in the world 8. work at a job that i love  9. have a family  10. idk for this one haha,0,  1 sky dive 2 bungie jump 3 visit all the states 4 go to as many concerts as possible 5 spend a day hanging out with some celebs d 6 travel the world  7 visit all the disneylands in the world 8 work at a job that i love  9 have a family  10 idk for this one haha,0.542069251,-0.509804303,1.836034205,-25.12904516,0.016666667,0.016666667,0,0,59,2,0.033898305,0,0
126,  10ish,0,  10ish,-0.063269664,-0.049702925,0,0,0,0,0,0,1,0,0,0,0
127,  12 lol,0,  12 lol,0.718265878,-0.150292662,0,0,0,0.5,0,0,2,0,0,0,0
128,  1995 haha when i was bornwas my year! Doh!I didnt have 2 do ANYTHING on my own haha,0,  1995 haha when i was bornwas my year dohi didnt have 2 do anything on my own haha,0.771405821,-0.631111201,13.6219598,-17.4790009,0.142857143,0.19047619,0,0,18,0,0,0,0
129,  2 :),0,2,0.301802899,-0.785495381,0,-2.843804223,0,0.333333333,0,0,1,0,0,0,0
130,  2007. wow to think about it  it's been too long  anyways.. to PANAMA for a graduation girls vaca!,0,  2007 wow to think about it  its been too long  anyways to panama for a graduation girls vaca,0.757801496,-0.445489324,9.864640051,-8.376119905,0.05,0.05,0,0,18,1,0.055555556,0,0
131,  22 again...,0,  22 again,0.077231214,-0.240335368,2.014839044,0,0,0.333333333,0,0,2,0,0,0,0
132,  3:39 pm,0,  339 pm,-0.029021979,0.252697052,0,0,0,0,0,0,2,0,0,0,0
133,  30 mins tops,0,  30 mins tops,-0.243232467,0.192978739,0,0,0,0.333333333,0,0,3,1,0.333333333,0,0
134,  6'0 <- lolz hmm im 5'1,0,  60 < lolz hmm im 51,0.219266561,-0.059754876,0,-7.578838925,0,0,0,0,6,0,0,0,0
135,  8th grade. Friday night football game with the first guy I ever liked. haha,0,  8th grade friday night football game with the first guy i ever liked haha,0.489578903,-0.513335822,1.563692596,-10.99514943,0.142857143,0.071428571,0,0,14,1,0.071428571,0,0
136,  a bunch im sure. white lies are the hardest to remember,0,  a bunch im sure white lies are the hardest to remember,0.804539138,-0.628243136,0,-3.404810194,0,0,0,0,11,0,0,1,0.090909091
137,  A cami and gym shorts :] haha,0,  a cami and gym shorts  haha,0.602385711,-0.41290294,0,-12.60760829,0.125,0.125,0,0,6,0,0,0,0
138,  a different place. utopia.,0,  a different place utopia,0.346628266,-0.429812186,0,0,0,0,0,0,4,0,0,0,0
139,  a few  times,0,  a few  times,0.7811609,-0.456261274,0,0,0,0,0,0,3,0,0,0,0
140,  A flame torch.,0,  a flame torch,0.334967493,-0.300061078,0,0,0.25,0.25,0,0,3,0,0,0,0
